Stars,Title,PUBCHEM_CONFORMER_RMSD,docking score,glide emodel,glide gscore
,ZINC32871928,,-4.451,-44.47,-4.571
,ZINC09329481,,-4.45,-49.465,-4.506
,ZINC59564509,,-4.449,-52.013,-4.449
,ZINC17163174,,-4.447,-67.183,-5.384
,ZINC40627195,,-4.446,-49.556,-4.45
,ZINC40627195,,-4.446,-49.556,-4.45
,ZINC15171413,,-4.443,-41.722,-4.563
,ZINC40617974,,-4.44,-48.97,-4.44
,ZINC64062109,,-4.439,-42.871,-4.531
,ZINC77818396,,-4.438,-42.843,-4.494
,ZINC77818396,,-4.438,-42.843,-4.494
,ZINC38492309,,-4.438,-46.731,-4.438
,ZINC38492309,,-4.438,-46.731,-4.438
,ZINC94356337,,-4.437,-42.542,-4.444
,ZINC94356337,,-4.437,-42.542,-4.444
,ZINC02474893,,-4.432,-44.867,-4.432
,ZINC66869225,,-4.431,-45.683,-4.431
,ZINC39715811,,-4.43,-50.402,-4.438
,ZINC63240021,,-4.427,-51.524,-4.427
,ZINC04601110,,-4.426,-44.482,-4.427
,ZINC94680345,,-4.421,-40.393,-4.423
,ZINC93212064,,-4.421,-44.014,-4.554
,ZINC58991910,,-4.411,-52.665,-4.411
,ZINC94550862,,-4.409,-48.227,-4.424
,ZINC58990058,,-4.406,-55.123,-4.406
,ZINC16431396,,-4.406,-43.003,-4.858
,ZINC80347336,,-4.404,-49.3,-4.455
,ZINC32906129,,-4.403,-48.812,-4.414
,ZINC00549862,,-4.402,-44.594,-4.402
,ZINC94355757,,-4.401,-41.617,-4.401
,ZINC63406082,,-4.4,-56.76,-4.56
,ZINC05831504,,-4.398,-47.487,-4.398
,ZINC90713349,,-4.396,-49.111,-4.412
,ZINC39933655,,-4.395,-54.11,-5.007
,ZINC66869197,,-4.394,-43.596,-4.394
,ZINC12237529,,-4.392,-55.822,-4.399
,ZINC33850859,,-4.391,-56.39,-4.391
,ZINC33850859,,-4.391,-56.39,-4.391
,ZINC33850859,,-4.391,-56.39,-4.391
,ZINC78363880,,-4.39,-32.644,-4.39
,ZINC63075108,,-4.386,-52.112,-4.393
,ZINC93761167,,-4.385,-47.255,-4.563
,ZINC12569120,,-4.384,-57.116,-4.384
,ZINC02932354,,-4.383,-60.586,-4.383
,ZINC28940491,,-4.383,-48.598,-4.776
,ZINC39205285,,-4.381,-59.489,-4.575
,ZINC39205285,,-4.381,-59.489,-4.575
,ZINC16496223,,-4.381,-50.896,-4.385
,ZINC16496223,,-4.381,-50.896,-4.385
,ZINC16496223,,-4.381,-50.896,-4.385
,ZINC16496223,,-4.381,-50.896,-4.385
,ZINC16496223,,-4.381,-50.896,-4.385
,ZINC16496223,,-4.381,-50.896,-4.385
,ZINC90068217,,-4.38,-50.721,-4.633
,ZINC58817724,,-4.38,-46.15,-4.38
,ZINC67935340,,-4.38,-48.671,-4.388
,ZINC26892672,,-4.378,-36.706,-4.378
,ZINC26892672,,-4.378,-36.706,-4.378
,ZINC94355769,,-4.376,-42.754,-4.376
,ZINC94355769,,-4.376,-42.754,-4.376
,ZINC64136878,,-4.374,-55.376,-4.836
,ZINC18218092,,-4.371,-50.816,-4.382
,ZINC06424247,,-4.37,-49.496,-4.37
,ZINC77955862,,-4.369,-38.361,-4.369
,ZINC21078672,,-4.368,-52.644,-4.378
,ZINC21078672,,-4.368,-52.644,-4.378
,ZINC30803037,,-4.366,-51.294,-4.366
,ZINC30803037,,-4.366,-51.294,-4.366
,ZINC08107787,,-4.364,-41.698,-4.364
,ZINC64097679,,-4.363,-46.355,-4.462
,ZINC64097679,,-4.363,-46.355,-4.462
,ZINC64097679,,-4.363,-46.355,-4.462
,ZINC64097679,,-4.363,-46.355,-4.462
,ZINC64097679,,-4.363,-46.355,-4.462
,ZINC64097679,,-4.363,-46.355,-4.462
,ZINC63239989,,-4.359,-53.174,-4.359
,ZINC48340733,,-4.358,-44.899,-4.414
,ZINC48340733,,-4.358,-44.899,-4.414
,ZINC22764877,,-4.356,-41.621,-4.412
,ZINC08986116,,-4.356,-44.936,-4.356
,ZINC58991360,,-4.356,-56.54,-4.356
,ZINC04601135,,-4.354,-43.869,-4.355
