Stars,Title,PUBCHEM_PHARMACOPHORE_FEATURES,docking score,glide emodel,glide gscore,Formula
,ZINC92126035,,-4.385,-47.483,-4.632,
,ZINC01237294,,-4.37,-38.955,-4.783,
,ZINC77286907,,-4.363,-56.037,-5.731,
,ZINC89460689,,-4.362,-42.896,-4.51,
,ZINC92123780,,-4.354,-49.649,-4.541,
,ZINC92126212,,-4.354,-46.157,-4.797,
,ZINC92123632,,-4.352,-47.299,-5.151,
,ZINC83251288,,-4.341,-40.902,-4.341,
,ZINC92124241,,-4.332,-47.532,-5.162,
,ZINC92117482,,-4.328,-41.652,-4.458,
,ZINC73339551,,-4.325,-56.101,-4.802,
,ZINC92122870,,-4.324,-40.929,-4.471,
,ZINC92122870,,-4.324,-40.929,-4.471,
,ZINC77825758,,-4.323,-48.114,-4.323,
,ZINC39336693,,-4.323,-52.565,-4.341,
,ZINC92124472,,-4.321,-38.803,-4.444,
,ZINC92124358,,-4.321,-54.605,-4.84,
,ZINC92123495,,-4.318,-38.668,-4.574,
,ZINC92126317,,-4.317,-38.158,-4.452,
,ZINC92126317,,-4.317,-38.158,-4.452,
,ZINC92125810,,-4.311,-50.326,-4.499,
,ZINC77270903,,-4.31,-76.289,-5.905,
,ZINC77270903,,-4.31,-76.289,-5.905,
,ZINC72996934,,-4.309,-53.325,-4.786,
,ZINC92117889,,-4.308,-44.659,-4.456,
,ZINC92117889,,-4.308,-44.659,-4.456,
,ZINC92107828,,-4.307,-38.02,-4.454,
,ZINC92107828,,-4.307,-38.02,-4.454,
,ZINC92121611,,-4.304,-46.113,-5.167,
,ZINC92121611,,-4.304,-46.113,-5.167,
,ZINC92107825,,-4.302,-37.255,-4.449,
,ZINC72400628,,-4.29,-72.781,-5.587,
,ZINC92122789,,-4.288,-42.57,-4.476,
,ZINC92123233,,-4.287,-57.73,-5.782,
,ZINC92125984,,-4.287,-41.352,-4.405,
,ZINC92124599,,-4.281,-37.292,-4.401,
,ZINC92124599,,-4.281,-37.292,-4.401,
,ZINC92125124,,-4.277,-34.767,-4.418,
,ZINC67727362,,-4.276,-46.807,-4.448,
,ZINC92122441,,-4.274,-47.925,-4.422,
,ZINC92122758,,-4.264,-47.521,-4.412,
,ZINC12375640,,-4.261,-39.324,-4.261,
,ZINC72332894,,-4.255,-54.755,-5.004,
,ZINC72332894,,-4.255,-54.755,-5.004,
,ZINC92122984,,-4.255,-44.707,-4.404,
