Stars,Title,docking score,glide emodel,glide gscore
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,
,ZINC91346861,-4.865,-47.23,-4.865
,ZINC91367275,-4.864,-49.074,-4.864
,ZINC91345813,-4.861,-49.63,-4.861
,ZINC91337152,-4.855,-48.866,-4.855
,ZINC91337152,-4.855,-48.866,-4.855
,ZINC91348087,-4.855,-46.563,-4.855
,ZINC12786908,-4.854,-50.447,-4.854
,ZINC77628948,-4.851,-45.087,-4.851
,ZINC91313063,-4.846,-46.989,-4.846
,ZINC91341608,-4.846,-51.623,-4.846
,ZINC91375881,-4.846,-46.849,-4.846
,ZINC91376093,-4.843,-49.591,-4.843
,ZINC89882191,-4.839,-47.666,-4.839
,ZINC35186937,-4.838,-40.876,-4.838
,ZINC91344538,-4.836,-50.568,-4.836
,ZINC89400135,-4.836,-43.191,-4.836
,ZINC91350041,-4.833,-52.414,-4.833
,ZINC91345714,-4.831,-42.575,-4.831
,ZINC91345714,-4.831,-42.575,-4.831
,ZINC89461401,-4.829,-41.786,-4.829
,ZINC39796058,-4.824,-54.356,-4.824
,ZINC72161165,-4.818,-55.999,-4.818
,ZINC20089589,-4.814,-48.31,-4.814
,ZINC61622368,-4.814,-47.764,-4.814
,ZINC91346967,-4.813,-52.161,-4.813
,ZINC91345602,-4.811,-48.04,-4.811
,ZINC75159571,-4.796,-42.579,-4.796
,ZINC91690909,-4.791,-44.346,-4.791
,ZINC91346355,-4.79,-49.745,-4.79
,ZINC95354328,-4.79,-52.215,-4.79
,ZINC91371583,-4.785,-46.858,-4.785
,ZINC91371583,-4.785,-46.858,-4.785
,ZINC93352035,-4.783,-44.069,-4.783
,ZINC93352035,-4.783,-44.069,-4.783
,ZINC91337792,-4.776,-46.757,-4.776
,ZINC91244517,-4.772,-43.995,-4.772
,ZINC91284194,-4.77,-52.964,-4.77
,ZINC91284194,-4.77,-52.964,-4.77
,ZINC89962159,-4.765,-47.89,-4.765
,ZINC82971041,-4.764,-42.403,-4.764
,ZINC91347217,-4.762,-44.925,-4.762
,ZINC91313069,-4.761,-50.361,-4.761
,ZINC94949035,-4.758,-47.561,-4.758
,ZINC63328748,-4.757,-51.498,-4.757
,ZINC93352067,-4.754,-43.85,-4.754
,ZINC93352067,-4.754,-43.85,-4.754
,ZINC93351917,-4.753,-45.631,-4.753
,ZINC91344698,-4.752,-50.106,-4.752
,ZINC63376407,-4.749,-49.745,-4.749
,ZINC91307084,-4.743,-52.176,-4.743
,ZINC91307084,-4.743,-52.176,-4.743
,ZINC91307084,-4.743,-52.176,-4.743
,ZINC91307084,-4.743,-52.176,-4.743
,ZINC91333942,-4.743,-52.907,-4.743
,ZINC91333942,-4.743,-52.907,-4.743
,ZINC91333942,-4.743,-52.907,-4.743
,ZINC91333942,-4.743,-52.907,-4.743
,ZINC91333942,-4.743,-52.907,-4.743
,ZINC91333942,-4.743,-52.907,-4.743
,ZINC91347219,-4.739,-45.439,-4.739
,ZINC91347219,-4.739,-45.439,-4.739
,ZINC93088194,-4.736,-43.084,-4.736
,ZINC93351749,-4.736,-50.191,-4.736
,ZINC91344699,-4.733,-48.92,-4.733
,ZINC91234414,-4.73,-46.762,-4.73
,ZINC91234414,-4.73,-46.762,-4.73
,ZINC91400259,-4.727,-46.173,-4.727
,ZINC91400259,-4.727,-46.173,-4.727
,ZINC91371584,-4.725,-45.942,-4.725
,ZINC91371584,-4.725,-45.942,-4.725
,ZINC91371584,-4.725,-45.942,-4.725
,ZINC91371584,-4.725,-45.942,-4.725
,ZINC21083939,-4.724,-56.312,-4.724
,ZINC63493929,-4.717,-50.51,-4.717
,ZINC63493929,-4.717,-50.51,-4.717
,ZINC91348089,-4.715,-44.8,-4.715
,ZINC91348089,-4.715,-44.8,-4.715
,ZINC94957540,-4.713,-42.328,-4.713
,ZINC91343940,-4.709,-42.589,-4.709
,ZINC91170899,-4.703,-48.962,-4.703
,ZINC93351644,-4.702,-42.539,-4.702
,ZINC93352032,-4.699,-44.162,-4.699
,ZINC93352032,-4.699,-44.162,-4.699
,ZINC93352032,-4.699,-44.162,-4.699
,ZINC93352032,-4.699,-44.162,-4.699
,ZINC09235830,-4.698,-58.079,-4.698
,ZINC92153226,-4.695,-42.661,-4.695
,ZINC91335902,-4.692,-44.97,-4.692
,ZINC91335902,-4.692,-44.97,-4.692
,ZINC91215877,-4.691,-48.453,-4.691
,ZINC91215877,-4.691,-48.453,-4.691
,ZINC91215877,-4.691,-48.453,-4.691
,ZINC91400257,-4.688,-49.075,-4.688
,ZINC91344793,-4.682,-43.836,-4.682
,ZINC75210877,-4.682,-39.944,-4.682
,ZINC91372028,-4.674,-49.236,-4.674
,ZINC91242695,-4.673,-52.129,-4.673
,ZINC93352209,-4.673,-49.337,-4.673
,ZINC91307170,-4.671,-51.584,-4.671
,ZINC91307170,-4.671,-51.584,-4.671
,ZINC91307170,-4.671,-51.584,-4.671
,ZINC91307170,-4.671,-51.584,-4.671
,ZINC91307170,-4.671,-51.584,-4.671
,ZINC91307170,-4.671,-51.584,-4.671
,ZINC91281812,-4.667,-38.236,-4.667
,ZINC91281812,-4.667,-38.236,-4.667
,ZINC78304417,-4.667,-37.242,-4.667
,ZINC69423167,-4.667,-49.384,-4.667
,ZINC69423167,-4.667,-49.384,-4.667
,ZINC93351597,-4.661,-42.529,-4.661
,ZINC00067135,-4.661,-46.961,-4.661
,ZINC89343975,-4.661,-46.63,-4.661
,ZINC89343975,-4.661,-46.63,-4.661
,ZINC72144381,-4.659,-53.628,-4.659
,ZINC91348084,-4.655,-43.799,-4.655
,ZINC91234415,-4.653,-44.938,-4.653
,ZINC91234415,-4.653,-44.938,-4.653
,ZINC91234415,-4.653,-44.938,-4.653
,ZINC91338141,-4.646,-49.098,-4.646
,ZINC93351261,-4.644,-44.861,-4.644
,ZINC93351261,-4.644,-44.861,-4.644
,ZINC93351261,-4.644,-44.861,-4.644
,ZINC19344094,-4.633,-47.236,-4.633
,ZINC19344094,-4.633,-47.236,-4.633
,ZINC95370394,-4.63,-53.22,-4.63
,ZINC91235904,-4.629,-46.75,-4.629
,ZINC91370497,-4.628,-50.834,-4.628
,ZINC91371585,-4.627,-48.51,-4.627
,ZINC91345067,-4.626,-46.172,-4.626
,ZINC91345067,-4.626,-46.172,-4.626
,ZINC93352956,-4.622,-44.215,-4.622
,ZINC73937520,-4.622,-45.55,-4.622
,ZINC73937520,-4.622,-45.55,-4.622
,ZINC91344794,-4.619,-42.378,-4.619
,ZINC91344794,-4.619,-42.378,-4.619
,ZINC91374614,-4.619,-49.39,-4.619
,ZINC91401492,-4.606,-53.261,-4.606
,ZINC77628944,-4.601,-46.999,-4.601
,ZINC91186987,-4.598,-43.943,-4.598
,ZINC91186987,-4.598,-43.943,-4.598
,ZINC35454571,-4.594,-48.152,-4.594
,ZINC91401545,-4.591,-50.099,-4.591
,ZINC01758455,-4.587,-34.28,-4.587
,ZINC91306580,-4.574,-51.671,-4.574
,ZINC91306580,-4.574,-51.671,-4.574
,ZINC91314166,-4.574,-51.545,-4.574
,ZINC91304516,-4.572,-39.925,-4.572
,ZINC91304516,-4.572,-39.925,-4.572
,ZINC91399201,-4.57,-48.347,-4.57
,ZINC72281232,-4.57,-43.815,-4.57
,ZINC39735407,-4.561,-40.132,-4.561
,ZINC39735407,-4.561,-40.132,-4.561
,ZINC91374585,-4.561,-39.406,-4.561
,ZINC91374585,-4.561,-39.406,-4.561
,ZINC39735405,-4.56,-37.34,-4.56
,ZINC39735405,-4.56,-37.34,-4.56
,ZINC89928925,-4.556,-51.38,-4.556
,ZINC05613351,-4.556,-47.342,-4.556
,ZINC93351639,-4.55,-48.841,-4.55
,ZINC95434318,-4.545,-44.34,-4.545
,ZINC89921046,-4.538,-43.456,-4.538
,ZINC79065181,-4.526,-42.683,-4.526
,ZINC91404991,-4.524,-46,-4.524
,ZINC91345252,-4.516,-46.407,-4.516
,ZINC89328292,-4.507,-52.424,-4.507
,ZINC91376092,-4.503,-47.17,-4.503
,ZINC72281231,-4.501,-43.878,-4.501
,ZINC91371861,-4.5,-47.486,-4.5
,ZINC16942442,-4.499,-46.116,-4.499
,ZINC89400137,-4.498,-42.856,-4.498
,ZINC89400137,-4.498,-42.856,-4.498
,ZINC95471985,-4.492,-41.214,-4.492
,ZINC09244709,-4.49,-60.881,-4.49
,ZINC93351404,-4.489,-46.26,-4.489
,ZINC39735398,-4.481,-34.947,-4.481
,ZINC39735398,-4.481,-34.947,-4.481
,ZINC39735398,-4.481,-34.947,-4.481
,ZINC91346862,-4.48,-43.181,-4.48
,ZINC91346862,-4.48,-43.181,-4.48
,ZINC91346862,-4.48,-43.181,-4.48
,ZINC91372070,-4.479,-46.993,-4.479
,ZINC78705910,-4.476,-41.977,-4.476
,ZINC93352880,-4.475,-44.249,-4.475
,ZINC91232646,-4.474,-45.041,-4.474
,ZINC91232646,-4.474,-45.041,-4.474
,ZINC91232646,-4.474,-45.041,-4.474
,ZINC91232646,-4.474,-45.041,-4.474
,ZINC89880023,-4.473,-39.137,-4.473
,ZINC89880023,-4.473,-39.137,-4.473
,ZINC00067674,-4.471,-43.778,-4.471
,ZINC00067674,-4.471,-43.778,-4.471
,ZINC00067674,-4.471,-43.778,-4.471
,ZINC91345599,-4.47,-44.555,-4.47
