Stars,Title,docking score,glide emodel,glide gscore,Formula
,ZINC16924732,-3.706,-45.101,-3.707,
,ZINC12581392,-3.704,-55.661,-3.704,
,ZINC04574563,-3.703,-44.371,-3.703,
,ZINC04574563,-3.703,-44.371,-3.703,
,ZINC94557826,-3.702,-37.683,-3.803,
,ZINC94557826,-3.702,-37.683,-3.803,
,ZINC64491167,-3.702,-36.864,-3.814,
,ZINC64491167,-3.702,-36.864,-3.814,
,ZINC08035456,-3.702,-52.922,-3.702,
,ZINC08035456,-3.702,-52.922,-3.702,
,ZINC05516107,-3.701,-33.551,-3.714,
,ZINC64580569,-3.7,-41.106,-3.801,
,ZINC64580569,-3.7,-41.106,-3.801,
,ZINC32961635,-3.697,-53.92,-4.397,
,ZINC32961635,-3.697,-53.92,-4.397,
,ZINC32962192,-3.695,-44.211,-3.889,
,ZINC32962192,-3.695,-44.211,-3.889,
,ZINC32962192,-3.695,-44.211,-3.889,
,ZINC32962192,-3.695,-44.211,-3.889,
,ZINC64843259,-3.681,-40.997,-3.73,
,ZINC64843259,-3.681,-40.997,-3.73,
,ZINC94261686,-3.679,-34.064,-3.679,
,ZINC94261686,-3.679,-34.064,-3.679,
,ZINC05508707,-3.677,-36.917,-3.68,
,ZINC89726093,-3.677,-44.807,-3.759,
,ZINC89726093,-3.677,-44.807,-3.759,
,ZINC35397333,-3.67,-41.811,-3.703,
,ZINC35397333,-3.67,-41.811,-3.703,
,ZINC21986101,-3.67,-53.478,-3.67,
,ZINC21986101,-3.67,-53.478,-3.67,
,ZINC21986101,-3.67,-53.478,-3.67,
,ZINC21986101,-3.67,-53.478,-3.67,
,ZINC21986101,-3.67,-53.478,-3.67,
,ZINC21986101,-3.67,-53.478,-3.67,
,ZINC35397438,-3.667,-39.807,-3.668,
,ZINC35397438,-3.667,-39.807,-3.668,
,ZINC35397463,-3.663,-37.646,-3.693,
,ZINC35397463,-3.663,-37.646,-3.693,
,ZINC35397463,-3.663,-37.646,-3.693,
