Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,ZINC89229689,-25.96,9.137043
,ZINC35132937,-25.94,7.432713
,ZINC77285513,-24.69,2.036758
,ZINC77285513,-24.69,2.036758
,ZINC55009890,-49.68,12.825494
,ZINC16925130,-29.23,8.640669
,ZINC16924179,-29.52,3.105525
,ZINC37387565,-19.94,6.903728
,ZINC32971192,-16.96,9.619891
,ZINC12580677,-17.92,8.114545
,ZINC16925243,-23.91,5.749963
,ZINC33253658,-16.99,4.620399
,ZINC33253658,-16.99,4.620399
,ZINC13411734,-21.07,3.888308
,ZINC13411734,-21.07,3.888308
,ZINC91054582,-21.84,12.805368
,ZINC64580548,-19.89,7.266572
,ZINC64580548,-19.89,7.266572
,ZINC35397521,-17.36,9.727833
,ZINC35397521,-17.36,9.727833
,ZINC65459391,-13.42,8.228774
,ZINC65459391,-13.42,8.228774
,ZINC04676376,-23.38,8.378254
,ZINC04676376,-23.38,8.378254
,ZINC33253492,-21.63,7.889053
,ZINC33253492,-21.63,7.889053
,ZINC21601025,-41.67,5.372675
,ZINC35397661,-21.9,3.757624
,ZINC35397661,-21.9,3.757624
,ZINC84560879,-22.84,4.037337
,ZINC84560879,-22.84,4.037337
,ZINC32962261,-33.59,1.544849
,ZINC32962261,-33.59,1.544849
,ZINC92684703,-28.94,10.143673
,ZINC92684703,-28.94,10.143673
,ZINC92684703,-28.94,10.143673
,ZINC64843334,-21.69,4.090558
,ZINC64843334,-21.69,4.090558
,ZINC01414619,-18.82,1.664378
,ZINC13942448,-19.18,5.036691
,ZINC16924163,-30.64,2.50424
,ZINC12821881,-26.55,7.136195
,ZINC12821881,-26.55,7.136195
,ZINC35024383,-25.86,3.64601
,ZINC35024383,-25.86,3.64601
,ZINC32962198,-13.5,6.528332
,ZINC32962198,-13.5,6.528332
,ZINC60232531,-19.56,2.522637
,ZINC58009389,-23.67,5.885951
,ZINC02938536,-27.91,11.683165
,ZINC72283981,-18.17,3.332482
,ZINC71284119,-36.57,2.975622
,ZINC16926260,-25.51,2.50233
,ZINC16926260,-25.51,2.50233
,ZINC91011095,-23.07,14.883073
,ZINC91011095,-23.07,14.883073
,ZINC03871960,-14.01,7.079372
,ZINC03871960,-14.01,7.079372
,ZINC03871960,-14.01,7.079372
,ZINC03871960,-14.01,7.079372
,ZINC16924016,-11.63,8.112568
,ZINC13464101,-21.19,3.48178
,ZINC13464101,-21.19,3.48178
,ZINC39927087,-20.1,6.004236
,ZINC72904130,-25.49,6.220431
,ZINC64580554,-15.75,8.13635
,ZINC64580554,-15.75,8.13635
,ZINC64580554,-15.75,8.13635
,ZINC64580554,-15.75,8.13635
,ZINC08715843,-33.93,2.640297
,ZINC08715843,-33.93,2.640297
,ZINC08714929,-20.93,1.47713
,ZINC21595896,-33.6,2.208407
,ZINC20061363,-28.57,2.737778
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
,ZINC77271156,-7.41,10.258698
