Stars,Title,MMGBSA dG Bind,Lig Strain Energy
,ZINC79065181,-29.64,9.734563
,ZINC91404991,-35.05,3.067143
,ZINC91345252,-30.87,2.97069
,ZINC89328292,-28.61,8.933977
,ZINC91376092,-34.96,2.314419
,ZINC72281231,-29.51,2.821156
,ZINC91371861,-33.57,4.954442
,ZINC16942442,-24.04,9.49193
,ZINC89400137,-26.3,4.788066
,ZINC89400137,-26.3,4.788066
,ZINC95471985,-27.44,2.128419
,ZINC09244709,-46.06,6.04291
,ZINC93351404,-27.52,2.921754
,ZINC39735398,-12.03,8.400829
,ZINC39735398,-12.03,8.400829
,ZINC39735398,-12.03,8.400829
,ZINC91346862,-33.19,2.589265
,ZINC91346862,-33.19,2.589265
,ZINC91346862,-33.19,2.589265
,ZINC91372070,-33.07,5.204888
,ZINC78705910,-22.27,4.736742
,ZINC93352880,-27.37,3.413648
,ZINC91232646,-29.59,3.210515
,ZINC91232646,-29.59,3.210515
,ZINC91232646,-29.59,3.210515
,ZINC91232646,-29.59,3.210515
,ZINC89880023,-21.79,5.198978
,ZINC89880023,-21.79,5.198978
,ZINC00067674,-22.24,4.632821
,ZINC00067674,-22.24,4.632821
,ZINC00067674,-22.24,4.632821
,ZINC91345599,-26.56,1.872348
,ZINC91345599,-26.56,1.872348
,ZINC95407003,-26.25,4.515392
,ZINC95407003,-26.25,4.515392
,ZINC95407003,-26.25,4.515392
,ZINC91345068,-28.86,1.919358
,ZINC91345068,-28.86,1.919358
,ZINC91336799,-36.6,3.535164
,ZINC39735396,-18.27,4.53701
,ZINC73925086,-20.34,5.235492
,ZINC91375927,-29.89,1.507063
,ZINC91375927,-29.89,1.507063
,ZINC88429914,-25.89,5.530883
,ZINC77489022,-29.34,6.701265
,ZINC78523588,-27.93,1.925999
,ZINC40445247,-15.28,6.121318
,ZINC91235903,-20.12,5.251442
,ZINC91235903,-20.12,5.251442
,ZINC63493915,-37.85,4.234417
,ZINC63493915,-37.85,4.234417
,ZINC89328296,-31.08,4.754899
,ZINC93353068,-29.8,4.218678
,ZINC93353068,-29.8,4.218678
,ZINC89259367,-31.35,7.884226
,ZINC81969003,-9.08,13.860498
,ZINC39736358,-16.41,6.618808
,ZINC39736358,-16.41,6.618808
,ZINC39736358,-16.41,6.618808
,ZINC89461403,-16.87,7.76723
,ZINC94957539,-32.55,2.702237
,ZINC91227314,-23.25,3.230243
,ZINC91227314,-23.25,3.230243
,ZINC91227314,-23.25,3.230243
,ZINC93351361,-35.42,4.619836
,ZINC93351361,-35.42,4.619836
,ZINC91914695,-28.02,4.651644
,ZINC91344970,-29.36,4.536818
,ZINC91344970,-29.36,4.536818
,ZINC78685748,-20.65,4.393607
,ZINC93351091,-17.12,5.586238
,ZINC93352278,-39.77,3.33211
,ZINC93352278,-39.77,3.33211
,ZINC93351244,-26.49,2.652398
,ZINC05194995,-17.21,12.576562
,ZINC02417608,-44.39,3.574806
,ZINC02417608,-44.39,3.574806
,ZINC02417608,-44.39,3.574806
,ZINC89328294,-35.11,6.42076
,ZINC66931543,-27.48,10.513149
,ZINC07737692,-30.7,6.012322
,ZINC78304421,-19.05,1.085423
,ZINC21078672,-43.07,3.899789
,ZINC87559883,-32.54,5.590518
,ZINC87559883,-32.54,5.590518
,ZINC94233291,-13.72,7.015187
,ZINC87559883,-25.61,6.669916
,ZINC87559883,-25.61,6.669916
,ZINC16941359,-21.45,7.597254
,ZINC16941359,-21.45,7.597254
,ZINC16941359,-21.45,7.597254
,ZINC50010226,-33.59,5.59183
,ZINC91367907,-28.55,9.426819
,ZINC91408572,-31.37,3.271143
,ZINC91408572,-31.37,3.271143
,ZINC91375882,-29.51,4.145627
,ZINC91232634,-28.11,6.793405
,ZINC91232634,-28.11,6.793405
,ZINC91281668,-26.74,1.985944
,ZINC02429109,-30.4,14.319032
,ZINC72428161,-27.48,6.247478
,ZINC65516351,-32.72,5.453805
,ZINC75117052,-21.33,10.127513
,ZINC91244605,-21.31,8.548749
,ZINC00067135,-29.4,3.836141
,ZINC80971322,-29.97,4.704116
,ZINC00478615,-29.17,4.715421
,ZINC00478615,-29.17,4.715421
,ZINC91371899,-33.74,6.38981
,ZINC93351051,-19.7,4.310571
,ZINC92156893,-24.22,3.915169
,ZINC92156893,-24.22,3.915169
,ZINC02410613,-38.3,4.019981
,ZINC91241355,-20.09,6.53019
,ZINC89400137,-26.42,6.477453
,ZINC89400137,-26.42,6.477453
,ZINC91441316,-27.39,4.794465
,ZINC91441316,-27.39,4.794465
,ZINC91400734,-26.59,4.590293
,ZINC79483572,-19.74,6.805531
,ZINC94333883,-30.43,2.446186
,ZINC35186936,-15.27,6.103739
,ZINC93352564,-31.39,3.820552
,ZINC93352564,-31.39,3.820552
,ZINC03954031,-23.35,4.351509
,ZINC03954031,-23.35,4.351509
,ZINC91371900,-34.64,4.849821
,ZINC91280143,-30.88,1.795261
,ZINC92151509,-22.22,3.225083
,ZINC93350956,-23.79,6.132118
,ZINC39735400,-16.1,4.46106
,ZINC39735400,-16.1,4.46106
,ZINC39735400,-16.1,4.46106
,ZINC38743887,-24.5,3.924328
,ZINC38743887,-24.5,3.924328
,ZINC38743887,-24.5,3.924328
,ZINC38743887,-24.5,3.924328
,ZINC75129725,-22.83,5.55504
,ZINC91255211,-16.36,8.152814
,ZINC91339655,-28.12,10.286015
,ZINC92153227,-28.37,2.468168
,ZINC78345651,-27.21,7.30661
,ZINC78345651,-27.21,7.30661
,ZINC91198660,-16.98,4.036669
,ZINC17164705,-26.65,8.345851
,ZINC17164705,-26.65,8.345851
,ZINC17164705,-26.65,8.345851
,ZINC17164705,-26.65,8.345851
,ZINC91343363,-38.72,4.245097
,ZINC91343363,-38.72,4.245097
,ZINC22261765,-26.84,7.455617
,ZINC91239125,-19.64,5.267215
,ZINC91239125,-19.64,5.267215
,ZINC91170896,-32.64,3.280335
,ZINC91170896,-32.64,3.280335
,ZINC91170896,-32.64,3.280335
,ZINC91170896,-32.64,3.280335
,ZINC63281836,-25.95,5.683986
,ZINC10623531,-23.47,6.611763
,ZINC10623531,-23.47,6.611763
,ZINC10623531,-23.47,6.611763
,ZINC10623531,-23.47,6.611763
,ZINC10623531,-23.47,6.611763
,ZINC00478616,-24.2,12.27979
,ZINC57156274,-21.73,5.79496
,ZINC57156274,-21.73,5.79496
,ZINC57156274,-21.73,5.79496
,ZINC57156274,-21.73,5.79496
,ZINC17164703,-25.05,12.851428
,ZINC17164703,-25.05,12.851428
,ZINC17164703,-25.05,12.851428
,ZINC91347613,-30.35,5.853099
,ZINC91347613,-30.35,5.853099
,ZINC67847047,-24.08,6.334361
,ZINC89322653,-39.37,3.453953
,ZINC89322653,-39.37,3.453953
,ZINC91349421,-28.99,7.596779
,ZINC91245018,-27.04,4.038624
,ZINC89259367,-13.52,6.633794
,ZINC04510621,-27.36,3.931177
,ZINC04510621,-27.36,3.931177
,ZINC93352403,-19.75,5.312995
,ZINC93352403,-19.75,5.312995
,ZINC91347614,-23.66,8.291431
,ZINC91347614,-23.66,8.291431
,ZINC38735554,-25.49,3.117489
,ZINC95417766,-30.21,4.782321
,ZINC93350955,-39.73,3.736849
,ZINC25694460,-56.93,4.239066
,ZINC09421371,-29.75,1.725732
,ZINC91237682,-16.94,7.213891
,ZINC91237682,-16.94,7.213891
,ZINC91237682,-16.94,7.213891
,ZINC91225437,-19.74,5.692487
,ZINC91225437,-19.74,5.692487
,ZINC89328290,-32.18,10.672534
,ZINC89328290,-32.18,10.672534
,ZINC91187862,-24.47,4.760154
,ZINC91377629,-27.89,3.414911
,ZINC91377629,-27.89,3.414911
,ZINC91404197,-27.56,3.622355
,ZINC91232649,-40.26,2.716554
,ZINC91232649,-40.26,2.716554
,ZINC16942442,-23.14,12.124996
,ZINC81093846,-23.84,12.828291
,ZINC80971315,-30.73,1.355797
,ZINC93352668,-31.32,4.082191
,ZINC91402438,-32.56,4.780912
,ZINC91402438,-32.56,4.780912
,ZINC92153453,-23.75,7.50675
,ZINC91347823,-22.37,6.54894
,ZINC91347823,-22.37,6.54894
,ZINC93353180,-29.92,1.937985
,ZINC39760624,-44.93,3.50041
,ZINC13555003,-27.91,3.925222
,ZINC78339532,-27.92,1.704724
,ZINC91216012,-19.68,5.628975
,ZINC91216012,-19.68,5.628975
,ZINC91216012,-19.68,5.628975
,ZINC93352756,-35.83,3.832876
,ZINC91343391,-40.08,1.180354
,ZINC19553243,-44.5,3.291545
,ZINC87559884,-25.5,3.819071
,ZINC87559884,-25.5,3.819071
,ZINC87559884,-25.5,3.819071
,ZINC91234416,-32.42,6.10417
,ZINC91234416,-32.42,6.10417
,ZINC06590633,-34.58,1.805877
,ZINC91225301,-19.57,5.450257
,ZINC91225301,-19.57,5.450257
,ZINC77228907,-27.22,3.807729
,ZINC93352926,-25.67,5.76263
,ZINC91375842,-34.1,3.700471
,ZINC09235830,-38.12,11.19591
,ZINC67967050,-26.16,6.071677
,ZINC91402435,-33.76,3.44911
,ZINC89258042,-20.93,4.892459
,ZINC78673087,-26.48,4.447734
,ZINC77647382,-30.7,4.69214
,ZINC93350797,-14.96,4.765457
,ZINC91225500,-17.83,10.753069
,ZINC94957540,-32.35,3.77731
,ZINC93352526,-30.5,5.279407
